date,heating degrees,occupancy,steam-LBS
6/2/12,0.583333333,0.5,0
6/3/12,0.75,0.5,0
6/4/12,4.208333333,0.5,20.3125
6/5/12,3.625,0.5,0
6/6/12,1.5,0.5,0
6/7/12,1,0.5,3291.015625
6/8/12,0.791666667,0.5,4594.6875
6/9/12,0,0.5,4418.375651
6/10/12,0,0.5,4865.192057
6/11/12,0.125,0.5,5236.041667
6/12/12,0,0.5,5280
6/13/12,0,0.5,5266.614583
6/14/12,0,0.5,4545.755208
6/15/12,0.125,0.5,4855.651042
6/16/12,0.375,0.5,4640.042318
6/17/12,1.166666667,0.5,4769.280599
6/18/12,0.583333333,0.5,4350.442708
6/19/12,0.25,0.5,2925.963542
6/20/12,0,0.5,21.875
6/21/12,0,0.5,0
6/22/12,0,0.5,18.75
6/23/12,0,0.5,0
6/24/12,0,0.5,0
6/25/12,0,0.5,0
6/26/12,0,0.5,20.3125
6/27/12,0,0.5,0
6/28/12,0,0.5,0
6/29/12,0,0.5,20.3125
7/2/12,0,0.5,0
7/3/12,0,0.5,18.75
7/4/12,0,0.5,6.5625
7/5/12,0,0.5,15.3125
7/6/12,0,0.5,0
7/7/12,0,0.5,0
7/8/12,0,0.5,0
7/9/12,0,0.5,0
7/10/12,0,0.5,0
7/11/12,0,0.5,0
7/12/12,0,0.5,0
7/13/12,0,0.5,0
7/14/12,0,0.5,0
7/15/12,0,0.5,0
7/16/12,0,0.5,0
7/17/12,0,0.5,0
7/18/12,0,0.5,0
7/19/12,0,0.5,0
7/20/12,0,0.5,0
7/21/12,0,0.5,0
7/22/12,0,0.5,0
7/23/12,0,0.5,0
7/24/12,0,0.5,0
7/25/12,0,0.5,0
7/26/12,0,0.5,0
7/27/12,0,0.5,0
7/28/12,0,0.5,0
7/29/12,0,0.5,0
7/30/12,0,0.5,0
7/31/12,0,0.5,0
8/1/12,0,0.5,0
8/2/12,0,0.5,0
8/3/12,0,0.5,0
8/4/12,0,0.5,0
8/5/12,0,0.5,0
8/6/12,0,0.5,0
8/7/12,0,0.5,0
8/8/12,0,0.5,0
8/9/12,0,0.5,0
8/10/12,0,0.5,0
8/11/12,0,0.5,0
8/12/12,0,0.5,0
8/13/12,0,0.5,0
8/14/12,0,0.5,0
8/15/12,0,0.5,18.75
8/16/12,0,0.5,0
8/17/12,0,0.5,40.625
8/18/12,0,0.5,0
